CustomerID,Recency,Frequency,Monetary,Cluster,Segment,PriorityScore,PriorityTier,Persona,Objective,PrimaryOffer,Tactics,Channels,Cadence
12748.0,1,336,56599.39,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
13777.0,1,61,56478.42,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
13798.0,1,110,75836.87,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
14606.0,1,192,30861.06,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
15311.0,1,208,116771.16,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
17389.0,1,61,57224.68,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
17675.0,1,70,38259.6,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
17949.0,1,118,118628.08,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
18102.0,1,145,608821.65,3,Champions,1.0,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
13408.0,2,106,51733.462,3,Champions,0.999728997289973,Critical,"High value, high engagement",Retain + maximize LTV,VIP perks / early access / exclusive bundle,VIP tier & priority support; Early access launches + limited edition; Cross-sell premium bundle (high margin); Referral program (high credibility),"Email, App Push, WhatsApp, Loyalty",Weekly (personalized)
